"meta_id","post_id","meta_key","meta_value"
"823","1330","_wpb_shortcodes_custom_css",".vc_custom_1488967510746{padding-top: 300px !important;background-image: url(https://celebrate.tanshcreative.com/wp-content/uploads-demo/scene.jpg?id=1368) !important;background-position: 0 0 !important;background-repeat: no-repeat !important;}.vc_custom_1488978124527{padding-top: 70px !important;padding-bottom: 40px !important;}.vc_custom_1487947730965{padding-bottom: 100px !important;}.vc_custom_1488902601733{padding-top: 70px !important;padding-bottom: 85px !important;background-color: #333b59 !important;}.vc_custom_1488608962320{background-image: url(https://celebrate.tanshcreative.com/wp-content/uploads-demo/folio-img6.jpg?id=486) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}.vc_custom_1489595976496{padding-top: 50px !important;padding-right: 5% !important;padding-bottom: 50px !important;padding-left: 5% !important;background-color: #bbc8d5 !important;}"
"824","1330","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"825","1330","_wp_page_template","template-no-page-header.php"
"826","1330","slide_template","default"
"827","1330","_wpb_vc_js_status","true"
"828","1330","_celebrate_page_header_bg_image_id","0"
"829","1330","_celebrate_page_header_bg_image_style","repeat"
"830","1330","_wpb_shortcodes_custom_css",".vc_custom_1488967510746{padding-top: 300px !important;background-image: url(https://celebrate.tanshcreative.com/wp-content/uploads-demo/scene.jpg?id=1368) !important;background-position: 0 0 !important;background-repeat: no-repeat !important;}.vc_custom_1488978124527{padding-top: 70px !important;padding-bottom: 40px !important;}.vc_custom_1487947730965{padding-bottom: 100px !important;}.vc_custom_1488902601733{padding-top: 70px !important;padding-bottom: 85px !important;background-color: #333b59 !important;}.vc_custom_1488608962320{background-image: url(https://celebrate.tanshcreative.com/wp-content/uploads-demo/folio-img6.jpg?id=486) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}.vc_custom_1489595976496{padding-top: 50px !important;padding-right: 5% !important;padding-bottom: 50px !important;padding-left: 5% !important;background-color: #bbc8d5 !important;}"
"832","1370","_wpb_shortcodes_custom_css",".vc_custom_1488786687816{border-bottom-width: 1px !important;background-color: #f2f4f4 !important;border-bottom-color: #e1e2e2 !important;border-bottom-style: solid !important;border-radius: 1px !important;}.vc_custom_1488786592973{padding-top: 70px !important;padding-bottom: 70px !important;}.vc_custom_1488784660480{margin-bottom: 0px !important;}.vc_custom_1502517736793{margin-bottom: 0px !important;}"
"834","1370","_wp_page_template","default"
"835","1370","slide_template","default"
"836","1370","_wpb_vc_js_status","true"
"837","1370","_celebrate_page_header_bg_image_id","0"
"838","1370","_celebrate_page_header_bg_image_style","repeat"
"839","1370","_wpb_shortcodes_custom_css",".vc_custom_1488786687816{border-bottom-width: 1px !important;background-color: #f2f4f4 !important;border-bottom-color: #e1e2e2 !important;border-bottom-style: solid !important;border-radius: 1px !important;}.vc_custom_1488786592973{padding-top: 70px !important;padding-bottom: 70px !important;}.vc_custom_1488784660480{margin-bottom: 0px !important;}.vc_custom_1502517736793{margin-bottom: 0px !important;}"
"840","1449","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"841","1449","_wpb_shortcodes_custom_css",".vc_custom_1488866291307{margin-top: -50px !important;}.vc_custom_1488866495878{padding-top: 40px !important;}.vc_custom_1489573939549{margin-top: 55px !important;background-image: url(https://www.vistaneotech.com/wp-content/uploads/2017/03/img1-1920x1080.jpg?id=1927) !important;background-position: center;background-repeat: no-repeat !important;background-size: cover !important;}.vc_custom_1488952411521{padding-top: 60px !important;padding-bottom: 70px !important;background-color: #f2f4f4 !important;}.vc_custom_1488952381187{padding-top: 60px !important;padding-bottom: 100px !important;}.vc_custom_1488952177079{padding-top: 60px !important;padding-bottom: 80px !important;background-color: #f2f4f4 !important;}.vc_custom_1489573877178{padding-top: 100px !important;padding-right: 10% !important;padding-bottom: 60px !important;padding-left: 10% !important;background-color: rgba(8,52,155,0.9) !important;*background-color: rgb(8,52,155) !important;}.vc_custom_1489573883847{padding-top: 100px !important;padding-right: 10% !important;padding-bottom: 60px !important;padding-left: 10% !important;background-color: rgba(1,209,147,0.9) !important;*background-color: rgb(1,209,147) !important;}.vc_custom_1488872842804{margin-bottom: 0px !important;}.vc_custom_1488872863872{margin-bottom: 0px !important;}.vc_custom_1488879953547{margin-bottom: 0px !important;}.vc_custom_1488883321298{margin-bottom: 0px !important;}.vc_custom_1488883387158{margin-bottom: 50px !important;}.vc_custom_1487969118463{margin-bottom: 0px !important;}"
"842","1449","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"843","1449","_wp_page_template","default"
"844","1449","slide_template","default"
"845","1449","_wpb_vc_js_status","true"
