"object_id","term_taxonomy_id","term_order"
"4330","69","0"
"4330","70","0"
"4330","71","0"
"4330","72","0"
"4330","73","0"
"4330","75","0"
"4330","76","0"
"4330","79","0"
"4332","1","0"
"4332","60","0"
"4332","66","0"
"4332","67","0"
"4332","68","0"
"4332","69","0"
"4332","70","0"
"4332","71","0"
"4332","72","0"
"4332","73","0"
"4332","75","0"
"4332","76","0"
"4332","79","0"
"4441","1","0"
"4441","60","0"
"4441","66","0"
"4441","67","0"
"4441","68","0"
"4441","69","0"
"4441","70","0"
"4441","71","0"
"4441","72","0"
"4441","73","0"
"4441","75","0"
"4441","76","0"
"4441","79","0"
"4517","1","0"
"4517","60","0"
"4517","66","0"
"4517","67","0"
"4517","68","0"
"4517","69","0"
"4517","70","0"
"4517","71","0"
"4517","72","0"
"4517","73","0"
"4517","75","0"
"4517","76","0"
"4517","79","0"
"4517","88","0"
"4578","1","0"
"4578","60","0"
"4578","66","0"
"4578","67","0"
"4578","68","0"
"4578","70","0"
"4578","72","0"
"4578","79","0"
"4578","80","0"
"4578","81","0"
"4578","82","0"
"4578","87","0"
"4895","54","0"
"5205","54","0"
"5238","1","0"
"5238","60","0"
"5238","66","0"
"5238","68","0"
"5238","69","0"
"5238","70","0"
"5238","71","0"
"5238","72","0"
"5238","73","0"
"5238","75","0"
"5238","76","0"
"5238","79","0"
"5238","95","0"
"5242","1","0"
"5242","60","0"
"5242","66","0"
"5242","67","0"
"5242","68","0"
"5242","69","0"
"5242","70","0"
"5242","71","0"
"5242","72","0"
"5242","75","0"
"5242","76","0"
"5242","79","0"
"5242","95","0"
"5268","1","0"
"5268","60","0"
"5268","66","0"
"5268","67","0"
"5268","68","0"
"5268","70","0"
"5268","71","0"
"5268","73","0"
"5268","75","0"
"5268","76","0"
"5268","95","0"
"5295","1","0"
"5295","60","0"
"5295","66","0"
"5295","67","0"
"5295","68","0"
"5295","69","0"
"5295","70","0"
"5295","71","0"
"5295","72","0"
"5295","73","0"
"5295","75","0"
"5295","79","0"
"5295","95","0"
"5313","1","0"
"5313","60","0"
"5313","66","0"
"5313","67","0"
"5313","69","0"
"5313","70","0"
"5313","71","0"
"5313","72","0"
"5313","73","0"
"5313","75","0"
"5313","76","0"
"5313","79","0"
"5313","95","0"
"5316","94","0"
"5338","1","0"
"5338","60","0"
"5338","66","0"
"5338","67","0"
"5338","68","0"
"5338","69","0"
"5338","70","0"
"5338","71","0"
"5338","72","0"
"5338","73","0"
"5338","76","0"
"5338","79","0"
"5338","95","0"
"5342","1","0"
"5342","60","0"
"5342","66","0"
"5342","67","0"
"5342","68","0"
"5342","69","0"
"5342","70","0"
"5342","71","0"
"5342","73","0"
"5342","75","0"
"5342","76","0"
"5342","79","0"
"5342","95","0"
"5344","1","0"
"5344","60","0"
"5344","66","0"
"5344","67","0"
"5344","68","0"
"5344","69","0"
"5344","70","0"
"5344","71","0"
"5344","72","0"
"5344","73","0"
"5344","75","0"
"5344","76","0"
"5344","95","0"
"5344","96","0"
"5407","1","0"
"5407","60","0"
"5407","66","0"
"5407","67","0"
"5407","69","0"
"5407","70","0"
"5407","71","0"
"5407","72","0"
"5407","73","0"
"5407","76","0"
"5407","95","0"
"5430","1","0"
"5430","60","0"
"5430","66","0"
"5430","67","0"
"5430","70","0"
